Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C24, C3, C4, C6, C7, C8",0805,9,100nF,
"C10, C12, C16, C17, C9",0805,5,1uF,
"C13, C14",0603,2,10pF,
"C15, C5",0805,2,4.7uF,
C18,0603,1,330pF,
C19,0603,1,68pF,
"C20, C23",1206,2,100uF,
C21,1206,1,22uF,
C22,0805,1,10uF,
"D1, D4, D5",D_SOD-323,3,1N5819WS,
D2,0603,1,+3V3_PWR_LED,
D6,0603,1,+5V_USB_PWR_LED,
D7,0603,1,+5V5_MAIN_PWR_LED,
"FB1, FB2",0805,2,120R,
J1,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0_16P,
"J11, J15, J16, J17, J18, J23, J6, J7, J9",KF301-5.0_1x3P,9,Screw_Terminal_01x03,
"J12, J2, J20, J21, J22, J3, J4, J5",DB301V-5.0_1x4P,8,Screw_Terminal_01x04,
J19,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
L1,1210,1,220uH,
L2,0805,1,1uH,
"Q10, Q8, Q9",SOT-23-3,3,MMBT3906,
"R1, R10, R26",0603,3,10k,
"R11, R20, R5, R6",0603,4,4.7k,
"R12, R16",1206,2,0.1R,
"R15, R27, R28, R47, R51, R52, R59, R60",0603,8,2.2k,
R18,0603,1,3.3k,
"R19, R29",0603,2,1k,
"R2, R32, R33",0805,3,33R,
"R24, R25",1206,2,5.1k,
"R3, R4",0603,2,3k3,
"R34, R39, R42, R43, R48, R49, R50, R53, R54, R55, R56, R57",0603,12,6.8k,
"R35, R36, R37, R38, R44, R45, R46",0603,7,220R,
R7,0603,1,100k,
SW1,SW_SPDT_Shouhan_MSK12C02,1,SW_SPDT,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F401RET6,
"U10, U11, U13, U14",SMDIP-16_W9.53mm,4,LTV-847S,
U12,TSSOP-14_4.4x5mm_P0.65mm,1,RS0104YQ,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MC34063AD,
U3,SOT-23,1,MCP1700T-3302E/TT(MS),
U4,SOT-23-6,1,USBLC6-2SC6,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
