Designator,Mid X,Mid Y,Rotation,Layer
C1,154.615403,-85.683048,0.0,top
C10,151.05,-99.5,180.0,top
C11,151.05,-101.5,180.0,top
C12,141.425,-142.358618,180.0,top
C13,134.05,-101.5,180.0,top
C14,141.0,-102.55,90.0,top
C15,156.55,-88.0,0.0,top
C16,132.344798,-122.6,270.0,top
C17,138.781472,-121.611214,270.0,top
C18,123.533181,-117.961609,270.0,top
C19,122.033181,-117.961609,270.0,top
C2,155.322325,-95.050511,270.0,top
C20,112.375131,-117.106597,270.0,top
C21,123.0,-113.875,90.0,top
C22,120.5,-113.85,90.0,top
C23,129.201449,-113.77355,90.0,top
C24,161.05,-134.2,180.0,top
C3,142.233432,-83.875997,90.0,top
C4,140.396993,-96.262589,180.0,top
C5,157.5,-95.05,270.0,top
C6,148.1,-99.65,270.0,top
C7,102.003532,-92.05,270.0,top
C8,106.0,-106.95,270.0,top
C9,148.0,-103.25,90.0,top
D1,126.05,-120.0,0.0,top
D2,141.586914,-120.642415,180.0,top
D4,132.412752,-112.414863,180.0,top
D5,132.409367,-114.893403,180.0,top
D6,135.632298,-127.85,180.0,top
D7,135.7875,-109.0,180.0,top
FB1,141.975,-139.296118,90.0,top
FB2,150.9375,-103.5,0.0,top
J1,145.475,-148.358618,0.0,top
J11,184.788052,-53.590118,180.0,top
J12,92.0,-144.0,0.0,top
J15,157.65,-143.7,0.0,top
J16,150.967698,-53.575663,180.0,top
J17,115.29807,-143.928296,0.0,top
J18,167.987708,-53.613471,180.0,top
J19,137.73,-74.5,90.0,top
J2,112.0823,-53.576204,180.0,top
J20,198.5,-97.0,90.0,top
J21,198.265,-119.0,90.0,top
J22,198.35,-140.85,90.0,top
J23,198.497531,-75.226607,90.0,top
J3,134.005014,-53.577876,180.0,top
J4,95.5,-78.0,270.0,top
J5,95.5,-100.0,270.0,top
J6,95.5,-60.603073,270.0,top
J7,95.476005,-122.155959,270.0,top
J9,201.559438,-53.578466,180.0,top
L1,125.959831,-115.583177,90.0,top
L2,126.0625,-112.35,0.0,top
Q10,118.5,-130.5,90.0,top
Q8,104.627095,-72.1,270.0,top
Q9,118.5,-136.5,90.0,top
R1,126.5,-97.5,270.0,top
R10,164.325,-136.05,180.0,top
R11,161.075,-136.05,180.0,top
R12,114.924075,-124.623912,90.0,top
R15,141.519798,-122.55,180.0,top
R16,112.359168,-121.9437,270.0,top
R18,117.217249,-113.801503,0.0,top
R19,114.217249,-113.801503,0.0,top
R2,138.0875,-87.7,180.0,top
R20,141.3,-136.358618,180.0,top
R24,149.9375,-141.358618,180.0,top
R25,135.5125,-139.858618,0.0,top
R26,138.15,-136.358618,180.0,top
R27,131.957298,-127.85,0.0,top
R28,132.325,-109.0,0.0,top
R29,153.6,-99.025,270.0,top
R3,109.0,-102.5,270.0,top
R32,138.0875,-90.2,180.0,top
R33,138.08524,-85.674452,0.0,top
R34,190.765,-99.065,270.0,top
R35,176.245684,-99.76008,90.0,top
R36,176.228756,-94.825,270.0,top
R37,176.235,-89.825,90.0,top
R38,176.235,-84.825,90.0,top
R39,190.765,-93.715,270.0,top
R4,108.653648,-94.625,90.0,top
R42,190.765,-88.565,270.0,top
R43,190.765,-83.565,270.0,top
R44,176.265,-106.175,90.0,top
R45,176.265,-111.175,90.0,top
R46,176.265,-116.175,90.0,top
R47,190.795,-130.405,90.0,top
R48,190.765,-105.065,270.0,top
R49,190.765,-110.065,270.0,top
R5,167.5,-74.675,270.0,top
R50,190.765,-115.065,270.0,top
R51,190.795,-135.755,90.0,top
R52,190.795,-141.255,90.0,top
R53,176.265,-130.475,90.0,top
R54,176.265,-135.475,90.0,top
R55,176.265,-140.475,90.0,top
R56,176.265,-63.875,270.0,top
R57,176.265,-68.875,270.0,top
R59,190.765,-65.635,90.0,top
R6,170.0,-71.675,90.0,top
R60,190.765,-71.135,90.0,top
R7,133.175,-89.0,180.0,top
SW1,122.5,-97.5,270.0,top
U1,147.5,-91.0,0.0,top
U10,183.5,-93.0,0.0,top
U11,183.5,-114.58,0.0,top
U12,123.5,-73.3,0.0,top
U13,183.5,-136.19,180.0,top
U14,183.5,-71.5,180.0,top
U2,117.475,-119.485,90.0,top
U3,135.407298,-121.4,0.0,top
U4,145.475,-137.721118,90.0,top
Y1,137.65,-102.6,270.0,top
